,country,article_name,revision_id,article_quality,population
0,zambia,Gladys Lundwe,757566606,Stub,17700000
1,zambia,Mwamba Luchembe,764848643,Stub,17700000
2,zambia,Thandiwe Banda,768166426,Start,17700000
3,zambia,Sylvester Chisembele,776082926,C,17700000
4,zambia,Victoria Kalima,776530837,Start,17700000
5,zambia,Margaret Mwanakatwe,779747587,Start,17700000
6,zambia,Nkandu Luo,779747961,Start,17700000
7,zambia,Susan Nakazwe,779748181,Start,17700000
8,zambia,Catherine Namugala,779748285,Start,17700000
9,zambia,Edith Nawakwi,779748522,Start,17700000
10,zambia,Joyce Nonde-Simukoko,779748628,Start,17700000
11,zambia,Gladys Nyirongo,779748837,C,17700000
12,zambia,Vera Tembo,779748931,C,17700000
13,zambia,Ompie Nkumbula-Lieventhal,790011468,Stub,17700000
14,zambia,Besnat Jere,791225634,Stub,17700000
15,zambia,Esther Lungu,792296625,C,17700000
16,zambia,Inonge Wina,794006130,Start,17700000
17,zambia,Maureen Mwanawasa,795820299,Start,17700000
18,zambia,First Lady of Zambia,796467991,Start,17700000
19,zambia,Jean Kapata,797469872,Start,17700000
20,zambia,Peter Sinkamba,799512628,Start,17700000
21,zambia,Gwendoline Konie,803304465,Start,17700000
22,zambia,Kenneth Kaunda,805875783,C,17700000
23,zambia,Inonge Mbikusita-Lewanika,805993958,Start,17700000
24,zambia,Yobert K. Shamapande,806345311,C,17700000
25,chad,Bir I of Kanem,355319463,Stub,15400000
26,chad,Abdullah II of Kanem,498683267,Stub,15400000
27,chad,Salmama II of Kanem,565745353,Stub,15400000
28,chad,Kuri I of Kanem,565745365,Stub,15400000
29,chad,Mohammed I of Kanem,565745375,Stub,15400000
30,chad,Kuri II of Kanem,669719757,Stub,15400000
31,chad,Bir II of Kanem,670893206,Stub,15400000
32,chad,Mahamat Hissene,693055898,Stub,15400000
33,chad,Othman I,705432607,Stub,15400000
34,chad,Alphonse Kotiga,707593108,Stub,15400000
35,chad,Oueddei Kichidemi,708346649,Start,15400000
36,chad,Dunama I,710675092,Stub,15400000
37,chad,Ahmad (Kanem-Bornu king),711388267,Stub,15400000
38,chad,Djibrine Kerallah,712971263,Stub,15400000
39,chad,Maurice Ngangtar,712971315,Stub,15400000
40,chad,Idriss Miskine,712971738,Stub,15400000
41,chad,Laoukein Kourayo Médard,716886170,Stub,15400000
42,chad,Nadji Madou,716886788,Stub,15400000
43,chad,Noël Milarew Odingar,716891799,Start,15400000
44,chad,Yaya Dillo Djérou,717733209,Stub,15400000
45,chad,Acheikh Ibn-Oumar,719821590,Start,15400000
46,chad,Quatre Sou Quatre,720066754,Stub,15400000
47,chad,Ali Gazi,722563340,Stub,15400000
48,chad,Mahamat Djarma Khatir,725132042,Stub,15400000
49,chad,Dunama IX Lefiami,731749611,Stub,15400000
50,chad,Dawud of Kanem,736550266,Stub,15400000
51,chad,Ahmed Koulamallah,738855197,Start,15400000
52,chad,Abbo Nassour,741369486,B,15400000
53,chad,Abdel Kader Baba-Laddé,742213176,Stub,15400000
54,chad,Hummay,747271475,Stub,15400000
55,chad,Ngarlejy Yorongar,751304544,C,15400000
56,chad,Saleh Kezabo,751380073,Stub,15400000
57,chad,Bourkou Louise Kabo,757072468,Start,15400000
58,chad,Brahim Koulamallah,757802238,Stub,15400000
59,chad,Saadie Goukouni Weddeye,757842614,Start,15400000
60,chad,Mahamoud Adam Béchir,762579466,Start,15400000
61,chad,Kalthouma Nguembang,762816132,Stub,15400000
62,chad,Djidingar Dono Ngardoum,764133533,Stub,15400000
63,chad,Template:ChadPMs,768123377,Stub,15400000
64,chad,Template:ChadPres,770535091,Stub,15400000
65,chad,Youssouf Saleh Abbas,771052289,B,15400000
66,chad,Koibla Djimasta,774223245,Start,15400000
67,chad,Nassour Guelendouksia Ouaido,774223248,C,15400000
68,chad,Joseph Brahim Seid,777478442,Stub,15400000
69,chad,Joseph Yodoyman,777550078,Start,15400000
70,chad,Antoine Bangui,782638002,Start,15400000
